"","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Coarse_STE","Coarse_STE_rank"
"1199","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Simuliidae","Simuliinae","ZZZ","Simuliini","ZZZ","ZZZ","Simulium","ZZZ","Eusimulium","ZZZ","ZZZ","Simuliidae","Family"
"1200","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Simuliidae","Simuliinae","ZZZ","Simuliini","ZZZ","ZZZ","Simulium","ZZZ","ZZZ","piperi","ZZZ","Simuliidae","Family"
"1201","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Simuliidae","Simuliinae","ZZZ","Simuliini","ZZZ","ZZZ","Simulium","Simulium vittatum complex","ZZZ","ZZZ","ZZZ","Simuliidae","Family"
"1202","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Simuliidae","Simuliinae","ZZZ","Simuliini","ZZZ","ZZZ","Simulium","Simulium tuberosum complex","ZZZ","ZZZ","ZZZ","Simuliidae","Family"
"1203","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Siphlonuridae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Siphlonuridae","Family"
"1204","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Siphlonuridae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Siphlonurus","ZZZ","ZZZ","ZZZ","ZZZ","Siphlonurus","Genus"
"1205","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","Neuropterida","Neuroptera","Hemerobiiformia","ZZZ","ZZZ","Sisyridae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Sisyridae","Family"
"1206","Mollusca","ZZZ","ZZZ","Gastropoda","Prosobranchia","ZZZ","ZZZ","Archaeogastropoda","ZZZ","ZZZ","ZZZ","Skeneidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Skenea","ZZZ","ZZZ","ZZZ","ZZZ","Skeneidae","Family"
"1208","Annelida","ZZZ","ZZZ","Clitellata","Oligochaeta","ZZZ","ZZZ","Haplotaxida","Tubificina","ZZZ","ZZZ","Naididae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Slavina","ZZZ","ZZZ","ZZZ","ZZZ","Oligochaeta","Subclass"
"1209","Annelida","ZZZ","ZZZ","Clitellata","Oligochaeta","ZZZ","ZZZ","Haplotaxida","Tubificina","ZZZ","ZZZ","Naididae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Slavina","ZZZ","ZZZ","appendiculata","ZZZ","Oligochaeta","Subclass"
"1210","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Chironomidae","Orthocladiinae","ZZZ","ZZZ","ZZZ","ZZZ","Smittia","ZZZ","ZZZ","ZZZ","ZZZ","Chironomidae","Family"
"1211","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Plecoptera","Systellognatha","ZZZ","ZZZ","Peltoperlidae","Peltoperlinae","ZZZ","ZZZ","ZZZ","ZZZ","Soliperla","ZZZ","ZZZ","ZZZ","ZZZ","Soliperla","Genus"
"1212","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Plecoptera","Euholognatha","ZZZ","ZZZ","Nemouridae","Nemourinae","ZZZ","ZZZ","ZZZ","ZZZ","Soyedina","ZZZ","ZZZ","ZZZ","ZZZ","Soyedina","Genus"
