"","Fine_STE","Medium_STE","Coarse_STE","Taxon","Taxon.Serial.Number","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Exclusion_reason","Excluded","Coarse_STE_rank","Medium_STE_rank","Fine_STE_rank","Coarse_STE_attribute_use","Medium_STE_attribute_use","Fine_STE_attribute_use","Coarse_STE_HBI_use","Medium_STE_HBI_use","Fine_STE_HBI_use","Coarse_STE_MTI_use","Medium_STE_MTI_use","Fine_STE_MTI_use","Coarse_STE_FSBI_use","Medium_STE_FSBI_use","Fine_STE_FSBI_use","Coarse_STE_FSBI_use2","Medium_STE_FSBI_use2","Fine_STE_FSBI_use2"
"697","Lepidostoma Hoodi Group","Lepidostoma","Lepidostoma","Lepidostoma Hoodi Group",-255,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Lepidostomatidae","Lepidostomatinae","","","","","Lepidostoma","Lepidostoma Hoodi Group","","","",NA,NA,"Genus","Genus","Species.Group","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma",NA,NA,NA,"Lepidostoma","Lepidostoma","Lepidostoma"
"698","Lepidostoma Pluviale Group","Lepidostoma","Lepidostoma","Lepidostoma Pluviale Group",-21,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Lepidostomatidae","Lepidostomatinae","","","","","Lepidostoma","Lepidostoma Pluviale Group","","","",NA,NA,"Genus","Genus","Species.Group","Lepidostoma","Lepidostoma","Lepidostoma Pluviale Group","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma",NA,NA,NA,"Lepidostoma","Lepidostoma","Lepidostoma"
"699","Lepidostoma Unicolor Group","Lepidostoma","Lepidostoma","Lepidostoma Unicolor Group",-257,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Lepidostomatidae","Lepidostomatinae","","","","","Lepidostoma","Lepidostoma Unicolor Group","","","",NA,NA,"Genus","Genus","Species.Group","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma",NA,NA,NA,"Lepidostoma","Lepidostoma","Lepidostoma"
"700","Lepidostomatidae","Lepidostomatidae","Lepidostomatidae","Lepidostomatidae",116793,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Lepidostomatidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Lepidostomatidae","Lepidostomatidae","Lepidostomatidae","Lepidostomatidae","Lepidostomatidae","Lepidostomatidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"701","Lepidotoma-panel case larvae","Lepidostoma","Lepidostoma","Lepidotoma-panel case larvae",-258,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Lepidostomatidae","Lepidostomatinae","","","","","Lepidostoma","Lepidotoma-panel case larvae","","","",NA,NA,"Genus","Genus","Species.Group","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma",NA,NA,NA,"Lepidostoma","Lepidostoma","Lepidostoma"
"702","Leptoceridae","Leptoceridae","Leptoceridae","Leptoceridae",116547,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Leptoceroidea","Leptoceridae","","","","","","","","","","",NA,NA,"Family","Family","Family","Leptoceridae","Leptoceridae","Leptoceridae","Leptoceridae","Leptoceridae","Leptoceridae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"703","Leptohyphidae","Leptohyphidae","Leptohyphidae","Leptohyphidae",568545,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Leptohyphidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Leptohyphidae","Leptohyphidae","Leptohyphidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"704","Leptophlebiidae","Leptophlebiidae","Leptophlebiidae","Leptophlebiidae",101095,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Lanceolata","","Leptophlebiidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Leptophlebiidae","Leptophlebiidae","Leptophlebiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"705","Lestes","Lestes","Lestes","Lestes",102061,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Zygoptera","","","Lestidae","","","","","","Lestes","","","","",NA,NA,"Genus","Genus","Genus","Lestes","Lestes","Lestes","Lestes","Lestes","Lestes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"706","Lethocerus","Lethocerus","Lethocerus","Lethocerus",103699,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Hemiptera","Heteroptera","Nepomorpha","Nepoidea","Belostomatidae","Lethocerinae","","","","","Lethocerus","","","","",NA,NA,"Genus","Genus","Genus","Heteroptera","Heteroptera","Heteroptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"707","Leucotrichia","Leucotrichia","Leucotrichia","Leucotrichia",115630,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydroptiloidea","Hydroptilidae","Hydroptilinae","","Leucotrichiini","","","Leucotrichia","","","","",NA,NA,"Genus","Genus","Genus","Leucotrichia","Leucotrichia","Leucotrichia","Leucotrichia","Leucotrichia","Leucotrichia",NA,NA,NA,NA,NA,NA,NA,NA,NA
