"","Fine_STE","Medium_STE","Coarse_STE","Taxon","Taxon.Serial.Number","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Exclusion_reason","Excluded","Coarse_STE_rank","Medium_STE_rank","Fine_STE_rank","Coarse_STE_attribute_use","Medium_STE_attribute_use","Fine_STE_attribute_use","Coarse_STE_HBI_use","Medium_STE_HBI_use","Fine_STE_HBI_use","Coarse_STE_MTI_use","Medium_STE_MTI_use","Fine_STE_MTI_use","Coarse_STE_FSBI_use","Medium_STE_FSBI_use","Fine_STE_FSBI_use","Coarse_STE_FSBI_use2","Medium_STE_FSBI_use2","Fine_STE_FSBI_use2"
"1230","Soyedina","Soyedina","Soyedina","Soyedina",102556,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Euholognatha","","","Nemouridae","Nemourinae","","","","","Soyedina","","","","",NA,NA,"Genus","Genus","Genus","Soyedina","Soyedina","Soyedina","Soyedina","Soyedina","Soyedina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1231","Sparganophilidae","Sparganophilidae","Oligochaeta","Sparganophilidae",68499,"Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","","","","Sparganophilidae","","","","","","","","","","",NA,NA,"Subclass","Family","Family","Oligochaeta","Oligochaeta","Oligochaeta","Oligochaeta","Oligochaeta","Oligochaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1232","Specaria","Naididae","Oligochaeta","Specaria",68984,"Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Naididae","","","","","","Specaria","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Naididae","Naididae","Oligochaeta","Oligochaeta","Oligochaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1233","Sperchon","Acari","Acari","Sperchon",83006,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Sperchontidae","","","","","","Sperchon","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Sperchon",NA,NA,"Sperchontidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1234","Sperchonopsis","Acari","Acari","Sperchonopsis",83029,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Sperchontidae","","","","","","Sperchonopsis","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Sperchonopsis",NA,NA,"Sperchontidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1235","Sperchontidae","Acari","Acari","Sperchontidae",895710,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Sperchontidae","","","","","","","","","","","Acari",FALSE,"Subclass","Subclass","Family","Acari","Acari","Trombidiformes",NA,NA,"Sperchontidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1236","Sperchopsis","Sperchopsis","Sperchopsis","Sperchopsis",112931,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","","Sperchopsini","","","Sperchopsis","","","","",NA,NA,"Genus","Genus","Genus","Hydrophilidae","Hydrophilidae","Hydrophilidae","Sperchopsis","Sperchopsis","Sperchopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1237","Sphaeridiinae","Sphaeridiinae","Sphaeridiinae","Sphaeridiinae",678423,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Sphaeridiinae","","","","","","","","","",NA,NA,"Subfamily","Subfamily","Subfamily","Hydrophilidae","Hydrophilidae","Hydrophilidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1238","Sphaeriidae","Sphaeriidae","Sphaeriidae","Sphaeriidae",81389,"Mollusca","","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Sphaeriidae","Sphaeriidae","Sphaeriidae","Sphaeriidae","Sphaeriidae","Sphaeriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1239","Sphaerium","Sphaerium","Sphaerium","Sphaerium",81391,"Mollusca","","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Pisidiidae","","","","","","Sphaerium","","","","",NA,NA,"Genus","Genus","Genus","Sphaerium","Sphaerium","Sphaerium","Sphaerium","Sphaerium","Sphaerium","Sphaerium","Sphaerium","Sphaerium",NA,NA,NA,NA,NA,NA
"1240","Sphaeroceridae","Sphaeroceridae","Sphaeroceridae","Sphaeroceridae",145784,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Sphaeroceridae","","","","","","","","","","","Sphaeroceridae",TRUE,"Family","Family","Family","Brachycera","Brachycera","Brachycera","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1241","Sphaerodoridae","Sphaerodoridae","Sphaerodoridae","Sphaerodoridae",66064,"Annelida","","","Polychaeta","Palpata","","","Aciculata","Phyllodocida","","","Sphaerodoridae","","","","","","","","","","",NA,NA,"Family","Family","Family","Sphaerodoridae","Sphaerodoridae","Sphaerodoridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1242","Sphaeromias","Sphaeromias","Sphaeromias","Sphaeromias",127761,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Ceratopogonidae","Ceratopogoninae","","Sphaeromiini","","","Sphaeromias","","","","",NA,NA,"Genus","Genus","Genus","Sphaeromias","Sphaeromias","Sphaeromias","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",NA,NA,NA,NA,NA,NA
"1243","Spirosperma","Tubificidae","Oligochaeta","Spirosperma nikolskyi",68781,"Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Tubificidae","","","","","","Spirosperma","","","nikolskyi","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Tubificidae","Spirosperma","Oligochaeta","Tubificidae","Tubificidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1244","Spirosperma","Tubificidae","Oligochaeta","Spirosperma",68780,"Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Tubificidae","","","","","","Spirosperma","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Tubificidae","Spirosperma","Oligochaeta","Tubificidae","Tubificidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1245","splendens","Neophylax","Neophylax","Neophylax splendens",116063,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Uenoidae","Thremmatinae","","","","","Neophylax","","","splendens","",NA,NA,"Genus","Genus","Species","Neophylax","Neophylax","Neophylax","Neophylax","Neophylax","Neophylax","Neophylax","Neophylax","Neophylax","Neophylax","Neophylax","Neophylax","Neophylax","Neophylax","Neophylax"
"1246","Stagnicola","Stagnicola","Lymnaeidae","Stagnicola",76534,"Mollusca","","","Gastropoda","","","","Basommatophora","","","","Lymnaeidae","","","","","","Stagnicola","","","","",NA,NA,"Family","Genus","Genus","Lymnaeidae","Stagnicola","Stagnicola","Lymnaeidae","Stagnicola","Stagnicola",NA,"Stagnicola","Stagnicola",NA,NA,NA,NA,NA,NA
"1247","Staphylinidae","Staphylinidae","Staphylinidae","Staphylinidae",113265,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Staphyliniformia","Staphylinoidea","Staphylinidae","","","","","","","","","","","Staphylinidae",TRUE,"Family","Family","Family","Staphylinidae","Staphylinidae","Staphylinidae","Staphylinidae","Staphylinidae","Staphylinidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1248","Stegopterna","Stegopterna","Simuliidae","Stegopterna",126761,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Simuliidae","Simuliinae","","Prosimuliini","","","Stegopterna","","","","",NA,NA,"Family","Genus","Genus","Simuliidae","Simuliidae","Simuliidae","Simuliidae","Simuliidae","Simuliidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1249","Stempellina","Tanytarsini","Chironomidae","Stempellina",129962,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Tanytarsini","","","Stempellina","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Tanytarsini","Stempellina","Chironomidae","Tanytarsini","Stempellina",NA,NA,"Stempellina",NA,NA,NA,NA,NA,NA
"1250","Stempellinella","Tanytarsini","Chironomidae","Stempellinella",129969,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Tanytarsini","","","Stempellinella","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Tanytarsini","Stempellinella","Chironomidae","Tanytarsini","Stempellinella",NA,NA,"Stempellinella",NA,NA,NA,NA,NA,NA
"1251","Stenacron","Stenacron","Stenacron","Stenacron",100713,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Stenacron","","","","",NA,NA,"Genus","Genus","Genus","Stenacron","Stenacron","Stenacron","Heptageniidae","Heptageniidae","Heptageniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1252","Stenelmis","Stenelmis","Stenelmis","Stenelmis",114095,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","","","","","","Stenelmis","","","","",NA,NA,"Genus","Genus","Genus","Elmidae","Elmidae","Elmidae","Stenelmis","Stenelmis","Stenelmis","Stenelmis","Stenelmis","Stenelmis",NA,NA,NA,NA,NA,NA
"1253","Stenochironomus","Chironomini","Chironomidae","Stenochironomus",129746,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Stenochironomus","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Chironomini","Stenochironomus","Chironomidae","Chironomidae","Chironomidae",NA,NA,"Stenochironomus",NA,NA,NA,NA,NA,NA
"1254","Stictochironomus","Chironomini","Chironomidae","Stictochironomus",129785,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Stictochironomus","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Chironomini","Stictochironomus","Chironomidae","Chironomidae","Chironomidae",NA,NA,"Stictochironomus",NA,NA,NA,NA,NA,NA
"1255","Stictocladius","Orthocladiinae","Chironomidae","Stictocladius",-238,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Stictocladius","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Orthocladiinae","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1256","Stictotarsus","Stictotarsus","Dytiscidae","Stictotarsus striatellus",568829,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Hydroporinae","","Hydroporini","","","Stictotarsus","","","striatellus","",NA,NA,"Family","Genus","Genus","Dytiscidae","Hydroporinae","Hydroporinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1257","Stictotarsus","Stictotarsus","Dytiscidae","Stictotarsus",568826,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Hydroporinae","","Hydroporini","","","Stictotarsus","","","","",NA,NA,"Family","Genus","Genus","Dytiscidae","Hydroporinae","Hydroporinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1258","Stilocladius","Orthocladiinae","Chironomidae","Stilocladius",129152,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Stilocladius","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Stilocladius","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1259","Stratiomyidae","Stratiomyidae","Stratiomyidae","Stratiomyidae",130150,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Stratiomyomorpha","","Stratiomyidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Stratiomyidae","Stratiomyidae","Stratiomyidae","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1260","Stygobromus","Stygobromus","Stygobromus","Stygobromus",93861,"Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Crangonyctidae","","","","","","Stygobromus","","","","",NA,NA,"Genus","Genus","Genus","Crangonyctidae","Crangonyctidae","Crangonyctidae","Amphipoda","Amphipoda","Amphipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1261","Stygomomonia","Acari","Acari","Stygomomonia",83471,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Momoniidae","","","","","","Stygomomonia","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1262","Stylaria","Naididae","Oligochaeta","Stylaria lacustris",68872,"Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Naididae","","","","","","Stylaria","","","lacustris","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Naididae","Stylaria","Oligochaeta","Oligochaeta","Oligochaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1263","Stylaria","Naididae","Oligochaeta","Stylaria",68871,"Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Naididae","","","","","","Stylaria","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Naididae","Stylaria","Oligochaeta","Oligochaeta","Oligochaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1264","Stylodrilus","Lumbriculidae","Oligochaeta","Stylodrilus",68450,"Annelida","","","Clitellata","Oligochaeta","","","Lumbriculida","","","","Lumbriculidae","","","","","","Stylodrilus","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Lumbriculidae","Lumbriculidae","Oligochaeta","Lumbriculidae","Lumbriculidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1265","Stylodrilus","Lumbriculidae","Oligochaeta","Stylodrilus heringianus",68452,"Annelida","","","Clitellata","Oligochaeta","","","Lumbriculida","","","","Lumbriculidae","","","","","","Stylodrilus","","","heringianus","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Lumbriculidae","Lumbriculidae","Oligochaeta","Lumbriculidae","Lumbriculidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1266","Stylurus olivaceus","Stylurus olivaceus","Stylurus olivaceus","Stylurus olivaceus",593023,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Anisoptera","","","Gomphidae","","","","","","Stylurus","","","olivaceus","",NA,NA,"Species","Species","Species","Gomphidae","Gomphidae","Gomphidae","Gomphidae","Gomphidae","Gomphidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1267","subborealis","Psychoglypha","Psychoglypha","Psychoglypha subborealis",115981,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Limnephilinae","","Chilostigmini","","","Psychoglypha","","","subborealis","",NA,NA,"Genus","Genus","Species","Psychoglypha","Psychoglypha","Psychoglypha","Limnephilinae","Limnephilinae","Limnephilinae","Psychoglypha","Psychoglypha","Psychoglypha",NA,NA,NA,"Psychoglypha","Psychoglypha","Psychoglypha"
"1268","Sublettea","Tanytarsini","Chironomidae","Sublettea",129975,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Tanytarsini","","","Sublettea","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Tanytarsini","Sublettea","Chironomidae","Tanytarsini","Sublettea",NA,NA,"Sublettea",NA,NA,NA,NA,NA,NA
"1269","Suwallia","Suwallia","Suwallia","Suwallia",103254,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Chloroperlidae","Chloroperlinae","","","","","Suwallia","","","","",NA,NA,"Genus","Genus","Genus","Suwallia","Suwallia","Suwallia","Suwallia","Suwallia","Suwallia","Chloroperlinae","Chloroperlinae","Chloroperlinae","Suwallia","Suwallia","Suwallia","Suwallia","Suwallia","Suwallia"
"1270","Suwallia forcipata","Suwallia forcipata","Suwallia forcipata","Suwallia forcipata",609888,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Chloroperlidae","Chloroperlinae","","","","","Suwallia","","","forcipata","",NA,NA,"Species","Species","Species","Suwallia","Suwallia","Suwallia","Suwallia","Suwallia","Suwallia","Chloroperlinae","Chloroperlinae","Chloroperlinae","Suwallia","Suwallia","Suwallia","Suwallia","Suwallia","Suwallia"
"1271","Suwalliini","Suwalliini","Suwalliini","Suwalliini",-222,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Chloroperlidae","Chloroperlinae","","Suwalliini","","","","","","","",NA,NA,"Tribe","Tribe","Tribe","Chloroperlidae","Chloroperlidae","Chloroperlidae","Chloroperlinae","Chloroperlinae","Chloroperlinae","Chloroperlinae","Chloroperlinae","Chloroperlinae",NA,NA,NA,NA,NA,NA
"1272","Sweltsa","Sweltsa","Sweltsa","Sweltsa",103273,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Chloroperlidae","Chloroperlinae","","","","","Sweltsa","","","","",NA,NA,"Genus","Genus","Genus","Sweltsa","Sweltsa","Sweltsa","Sweltsa","Sweltsa","Sweltsa","Chloroperlinae","Chloroperlinae","Chloroperlinae",NA,NA,NA,"Sweltsa","Sweltsa","Sweltsa"
"1273","Sweltsa adamantea","Sweltsa adamantea","Sweltsa adamantea","Sweltsa adamantea",568724,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Chloroperlidae","Chloroperlinae","","","","","Sweltsa","","","adamantea","",NA,NA,"Species","Species","Species","Sweltsa","Sweltsa","Sweltsa","Sweltsa","Sweltsa","Sweltsa","Chloroperlinae","Chloroperlinae","Chloroperlinae",NA,NA,NA,"Sweltsa","Sweltsa","Sweltsa"
"1274","Symbiocladius","Orthocladiinae","Chironomidae","Symbiocladius",129156,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Symbiocladius","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Orthocladiinae","Chironomidae","Orthocladiinae","Symbiocladius",NA,NA,"Symbiocladius",NA,NA,NA,NA,NA,NA
"1275","Sympetrum","Sympetrum","Sympetrum","Sympetrum",101976,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Anisoptera","","","Libellulidae","","","","","","Sympetrum","","","","",NA,NA,"Genus","Genus","Genus","Sympetrum","Sympetrum","Sympetrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1276","Symplecta","Symplecta","Symplecta","Symplecta",-235,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","Tipuloidea","Limoniidae","Chioneinae","","","","","Symplecta","","","","",NA,NA,"Genus","Genus","Genus","Nematocera","Nematocera","Nematocera","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1277","Symposiocladius","Orthocladiinae","Chironomidae","Orthocladius (Symposiocladius)",568523,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Orthocladius","","Symposiocladius","","",NA,NA,"Family","Subfamily","Subgenus","Chironomidae","Orthocladiinae","Orthocladius","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,"Orthocladius",NA,NA,NA,NA,NA,NA
"1278","Sympotthastia","Diamesini","Chironomidae","Sympotthastia",128426,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Diamesinae","","Diamesini","","","Sympotthastia","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Diamesinae","Diamesinae","Chironomidae","Diamesini","Sympotthastia",NA,NA,"Sympotthastia",NA,NA,NA,NA,NA,NA
"1279","Synorthocladius","Orthocladiinae","Chironomidae","Synorthocladius",129161,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Synorthocladius","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Synorthocladius","Chironomidae","Orthocladiinae","Synorthocladius",NA,NA,"Synorthocladius",NA,NA,NA,NA,NA,NA
"1280","Syrphidae","Syrphidae","Syrphidae","Syrphidae",139621,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Syrphidae","","","","","","","","","","","Syrphidae",FALSE,"Family","Family","Family","Syrphidae","Syrphidae","Syrphidae","Syrphidae","Syrphidae","Syrphidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1281","Tabanidae","Tabanidae","Tabanidae","Tabanidae",130934,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Tabanomorpha","","Tabanidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Tabanidae","Tabanidae","Tabanidae","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1282","Tabanus","Tabanus","Tabanus","Tabanus",131527,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Tabanomorpha","","Tabanidae","Tabaninae","","Tabanini","","","Tabanus","","","","",NA,NA,"Genus","Genus","Genus","Tabanidae","Tabanidae","Tabanidae","Tabanus","Tabanus","Tabanus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1283","Taenionema","Taenionema","Taenionema","Taenionema",102519,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Euholognatha","","","Taeniopterygidae","Brachypteryinae","","","","","Taenionema","","","","",NA,NA,"Genus","Genus","Genus","Taenionema","Taenionema","Taenionema","Taeniopterygidae","Taeniopterygidae","Taeniopterygidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284","Taeniopterygidae","Taeniopterygidae","Taeniopterygidae","Taeniopterygidae",102788,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Euholognatha","","","Taeniopterygidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Taeniopterygidae","Taeniopterygidae","Taeniopterygidae","Taeniopterygidae","Taeniopterygidae","Taeniopterygidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1285","Taeniopteryx","Taeniopteryx","Taeniopteryx","Taeniopteryx",102789,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Euholognatha","","","Taeniopterygidae","Taeniopteryginae","","","","","Taeniopteryx","","","","",NA,NA,"Genus","Genus","Genus","Taeniopterygidae","Taeniopterygidae","Taeniopterygidae","Taeniopterygidae","Taeniopterygidae","Taeniopterygidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1286","Tanyderidae","Tanyderidae","Tanyderidae","Tanyderidae",125799,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Ptychopteromorpha","","Tanyderidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Nematocera","Nematocera","Nematocera","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1287","Tanypodinae","Tanypodinae","Chironomidae","Tanypodinae",127994,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Tanypodinae","","","","","","","","","",NA,NA,"Family","Subfamily","Subfamily","Chironomidae","Tanypodinae","Tanypodinae","Chironomidae","Tanypodinae","Tanypodinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1288","Tanypus","Tanypodini","Chironomidae","Tanypus",128324,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Tanypodinae","","Tanypodini","","","Tanypus","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Tanypodinae","Tanypodinae","Chironomidae","Tanypodinae","Tanypodinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1289","Tanytarsini","Tanytarsini","Chironomidae","Tanytarsini",129872,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Tanytarsini","","","","","","","",NA,NA,"Family","Tribe","Tribe","Chironomidae","Tanytarsini","Tanytarsini","Chironomidae","Tanytarsini","Tanytarsini",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1290","Tanytarsus","Tanytarsini","Chironomidae","Tanytarsus",129978,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Tanytarsini","","","Tanytarsus","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Tanytarsini","Tanytarsus","Chironomidae","Tanytarsini","Tanytarsus",NA,NA,"Tanytarsus",NA,NA,NA,NA,NA,NA
"1291","Tartarothyas","Acari","Acari","Tartarothyas",895797,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Hydryphantidae","","","","","","Tartarothyas","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1292","Telmatodrilus","Tubificidae","Oligochaeta","Telmatodrilus vejdovskyi",68760,"Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Tubificidae","","","","","","Telmatodrilus","","","vejdovskyi","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Tubificidae","Tubificidae","Oligochaeta","Tubificidae","Tubificidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1293","Telopelopia","Pentaneurini","Chironomidae","Telopelopia",128233,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Tanypodinae","","Pentaneurini","","","Telopelopia","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Pentaneurini","Pentaneurini","Chironomidae","Pentaneurini","Pentaneurini",NA,NA,NA,NA,NA,NA,NA,NA,NA
