"","Fine_STE","Medium_STE","Coarse_STE","OTU_MetricCalc","Mapped.Taxon.Serial.Number","Taxon","Taxon.Serial.Number","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Exclusion_reason","Excluded","Coarse_STE_rank","Medium_STE_rank","Fine_STE_rank","Coarse_STE_attribute_use","Medium_STE_attribute_use","Fine_STE_attribute_use","Coarse_STE_HBI_use","Medium_STE_HBI_use","Fine_STE_HBI_use","Coarse_STE_MTI_use","Medium_STE_MTI_use","Fine_STE_MTI_use","Coarse_STE_FSBI_use","Medium_STE_FSBI_use","Fine_STE_FSBI_use","Coarse_STE_FSBI_use2","Medium_STE_FSBI_use2","Fine_STE_FSBI_use2"
"159","Caenis","Caenis","Caenis","Caenis",101478,"Caenis",101478,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Caenoidea","Caenidae","","","","","","Caenis","","","","",NA,NA,"Genus","Genus","Genus","Ephemeroptera","Ephemeroptera","Ephemeroptera","Caenis","Caenis","Caenis","Caenis","Caenis","Caenis",NA,NA,NA,"Caenis","Caenis","Caenis"
"160","Caenis","Caenis","Caenis","Caenis",101478,"Caenis latipennis",101488,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Caenoidea","Caenidae","","","","","","Caenis","","","","",NA,NA,"Genus","Genus","Genus","Ephemeroptera","Ephemeroptera","Ephemeroptera","Caenis","Caenis","Caenis","Caenis","Caenis","Caenis",NA,NA,NA,"Caenis","Caenis","Caenis"
"161","Calasellus/Salmasellus","Calasellus/Salmasellus","Calasellus/Salmasellus","Calasellus/Salmasellus",-269,"Calasellus",92780,"Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","","Isopoda","Asellota","","Aselloidea","Asellidae","","","","","","Calasellus/Salmasellus","","","","","Asellota",FALSE,"Genus","Genus","Genus","Calasellus/Salmasellus","Calasellus/Salmasellus","Calasellus/Salmasellus","Isopoda","Isopoda","Isopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Calineuria californica","Calineuria californica","Calineuria californica","Calineuria californica",102986,"Calineuria californica",102986,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Perlidae","Acroneuriinae","","Acroneuriini","","","Calineuria","","","californica","",NA,NA,"Species","Species","Species","Calineuria californica","Calineuria californica","Calineuria californica","Perlidae","Perlidae","Perlidae","Calineuria californica","Calineuria californica","Calineuria californica","Calineuria californica","Calineuria californica","Calineuria californica","Calineuria californica","Calineuria californica","Calineuria californica"
"163","Calineuria californica","Calineuria californica","Calineuria californica","Calineuria californica",102986,"Calineuria",102985,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Perlidae","Acroneuriinae","","Acroneuriini","","","Calineuria","","","californica","",NA,NA,"Species","Species","Species","Calineuria californica","Calineuria californica","Calineuria californica","Perlidae","Perlidae","Perlidae","Calineuria californica","Calineuria californica","Calineuria californica","Calineuria californica","Calineuria californica","Calineuria californica","Calineuria californica","Calineuria californica","Calineuria californica"
"164","Callibaetis","Callibaetis","Callibaetis","Callibaetis",100903,"Callibaetis",100903,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Callibaetis","","","","",NA,NA,"Genus","Genus","Genus","Callibaetis","Callibaetis","Callibaetis","Callibaetis","Callibaetis","Callibaetis","Callibaetis","Callibaetis","Callibaetis",NA,NA,NA,NA,NA,NA
"165","Callicorixa","Callicorixa","Callicorixa","Callicorixa",103514,"Callicorixa",103514,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Hemiptera","Heteroptera","Nepomorpha","Corixoidea","Corixidae","Corixinae","","","","","Callicorixa","","","","",NA,NA,"Genus","Genus","Genus","Callicorixa","Callicorixa","Callicorixa","Corixidae","Corixidae","Corixidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Caloparyphus","Caloparyphus","Caloparyphus","Caloparyphus",130409,"Caloparyphus",130409,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Stratiomyomorpha","","Stratiomyidae","Stratiomyinae","","Oxycerini","","","Caloparyphus","","","","",NA,NA,"Genus","Genus","Genus","Caloparyphus","Caloparyphus","Caloparyphus","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Calopterygidae","Calopterygidae","Calopterygidae","Calopterygidae",102043,"Calopterygidae",102043,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Zygoptera","","","Calopterygidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Calopterygidae","Calopterygidae","Calopterygidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Calopteryx","Calopteryx","Calopteryx","Calopteryx",102052,"Calopteryx",102052,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Zygoptera","","","Calopterygidae","","","","","","Calopteryx","","","","",NA,NA,"Genus","Genus","Genus","Calopteryx","Calopteryx","Calopteryx","Calopteryx","Calopteryx","Calopteryx",NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Cambaridae","Cambaridae","Cambaridae","Cambaridae",97336,"Cambaridae",97336,"Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Astacidea","Astacoidea","Cambaridae","","","","","","","","","","",NA,NA,"Family","Family","Family","Cambaridae","Cambaridae","Cambaridae","Decapoda","Decapoda","Decapoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Camelobaetidius","Camelobaetidius","Camelobaetidius","Camelobaetidius",568548,"Camelobaetidius",568548,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Camelobaetidius","","","","",NA,NA,"Genus","Genus","Genus","Baetidae","Baetidae","Baetidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Canaceidae","Canaceidae","Canaceidae","Canaceidae",148316,"Canaceidae",148316,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Canaceidae","","","","","","","","","","","Muscomorpha",TRUE,"Family","Family","Family","Canaceidae","Canaceidae","Canaceidae","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Capniidae","Capniidae","Capniidae","Capniidae",102643,"Paracapnia",102804,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Euholognatha","","","Capniidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Capniidae","Capniidae","Capniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Capniidae","Capniidae","Capniidae","Capniidae",102643,"Capniidae",102643,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Euholognatha","","","Capniidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Capniidae","Capniidae","Capniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Capniidae","Capniidae","Capniidae","Capniidae",102643,"Capnia",102688,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Euholognatha","","","Capniidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Capniidae","Capniidae","Capniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Capniidae","Capniidae","Capniidae","Capniidae",102643,"Eucapnopsis brevicauda",102786,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Euholognatha","","","Capniidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Capniidae","Capniidae","Capniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Capniidae","Capniidae","Capniidae","Capniidae",102643,"Mesocapnia",102771,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Euholognatha","","","Capniidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Capniidae","Capniidae","Capniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Cardiocladius","Orthocladiinae","Chironomidae","Cardiocladius",128511,"Cardiocladius albiplumus",128512,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Cardiocladius","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Cardiocladius","Chironomidae","Orthocladiinae","Cardiocladius",NA,NA,"Cardiocladius",NA,NA,NA,NA,NA,NA
"178","Cardiocladius","Orthocladiinae","Chironomidae","Cardiocladius",128511,"Cardiocladius obscurus",128515,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Cardiocladius","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Cardiocladius","Chironomidae","Orthocladiinae","Cardiocladius",NA,NA,"Cardiocladius",NA,NA,NA,NA,NA,NA
"179","Cardiocladius","Orthocladiinae","Chironomidae","Cardiocladius",128511,"Eukiefferiella similis",553084,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Cardiocladius","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Cardiocladius","Chironomidae","Orthocladiinae","Cardiocladius",NA,NA,"Cardiocladius",NA,NA,NA,NA,NA,NA
"180","Cardiocladius","Orthocladiinae","Chironomidae","Cardiocladius",128511,"Cardiocladius",128511,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Cardiocladius","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Cardiocladius","Chironomidae","Orthocladiinae","Cardiocladius",NA,NA,"Cardiocladius",NA,NA,NA,NA,NA,NA
"181","Caudatella","Caudatella","Caudatella","Caudatella",101347,"Caudatella",101347,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Caudatella","","","","",NA,NA,"Genus","Genus","Genus","Caudatella","Caudatella","Caudatella","Caudatella","Caudatella","Caudatella",NA,NA,NA,"Caudatella","Caudatella","Caudatella","Caudatella","Caudatella","Caudatella"
"182","Caudatella edmundsi","Caudatella edmundsi","Caudatella edmundsi","Caudatella edmundsi",568631,"Caudatella edmundsi",568631,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Caudatella","","","edmundsi","",NA,NA,"Species","Species","Species","Caudatella","Caudatella","Caudatella","Caudatella","Caudatella","Caudatella",NA,NA,NA,"Caudatella","Caudatella","Caudatella","Caudatella edmundsi","Caudatella edmundsi","Caudatella edmundsi"
"183","Caudatella heterocaudata complex","Caudatella heterocaudata complex","Caudatella heterocaudata complex","Caudatella heterocaudata complex",-270,"Caudatella heterocaudata",101351,"Arthropoda","Hexapoda","","Insecta","Pterygota","","","Ephemeroptera","Furcatergalia","","","Ephemerellidae","","","","","","Caudatella","heterocaudata complex","","","",NA,NA,"Species.Group","Species.Group","Species.Group","Caudatella heterocaudata complex","Caudatella heterocaudata complex","Caudatella heterocaudata complex","Caudatella","Caudatella","Caudatella",NA,NA,NA,"Caudatella","Caudatella","Caudatella","Caudatella","Caudatella","Caudatella"
"184","Caudatella hystrix","Caudatella hystrix","Caudatella hystrix","Caudatella hystrix",101348,"Caudatella hystrix",101348,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Caudatella","","","hystrix","",NA,NA,"Species","Species","Species","Caudatella hystrix","Caudatella hystrix","Caudatella hystrix","Caudatella hystrix","Caudatella hystrix","Caudatella hystrix","Caudatella hystrix","Caudatella hystrix","Caudatella hystrix","Caudatella hystrix","Caudatella hystrix","Caudatella hystrix","Caudatella hystrix","Caudatella hystrix","Caudatella hystrix"
"185","Caudatella jacobi","Caudatella jacobi","Caudatella jacobi","Caudatella jacobi",568632,"Caudatella jacobi",568632,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Caudatella","","","jacobi","",NA,NA,"Species","Species","Species","Caudatella","Caudatella","Caudatella","Caudatella","Caudatella","Caudatella",NA,NA,NA,"Caudatella","Caudatella","Caudatella","Caudatella","Caudatella","Caudatella"
"186","Cecidomyiidae","Cecidomyiidae","Cecidomyiidae","Cecidomyiidae",122975,"Cecidomyiidae",122975,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Bibionomorpha","","Cecidomyiidae","","","","","","","","","","","Cecidomyiidae",TRUE,"Family","Family","Family","Nematocera","Nematocera","Nematocera","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Cenocorixa","Cenocorixa","Cenocorixa","Cenocorixa",103501,"Cenocorixa",103501,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Hemiptera","Heteroptera","Nepomorpha","Corixoidea","Corixidae","Corixinae","","","","","Cenocorixa","","","","",NA,NA,"Genus","Genus","Genus","Corixidae","Corixidae","Corixidae","Corixidae","Corixidae","Corixidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Ceraclea","Ceraclea","Ceraclea","Ceraclea",116684,"Ceraclea",116684,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Leptoceroidea","Leptoceridae","Leptocerinae","","Athripsodini","","","Ceraclea","","","","",NA,NA,"Genus","Genus","Genus","Ceraclea","Ceraclea","Ceraclea","Ceraclea","Ceraclea","Ceraclea","Ceraclea","Ceraclea","Ceraclea",NA,NA,NA,NA,NA,NA
"189","Ceratopogonidae","Ceratopogonidae","Ceratopogonidae","Ceratopogonidae",127076,"Ceratopogonidae",127076,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Ceratopogonidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Ceratopogonidae","Ceratopogonidae","Ceratopogonidae","Ceratopogonidae","Ceratopogonidae","Ceratopogonidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",127338,"Palpomyiini",127774,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Ceratopogonidae","Ceratopogoninae","","","","","","","","","",NA,NA,"Subfamily","Subfamily","Subfamily","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",NA,NA,NA,NA,NA,NA
"191","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",127338,"Culicoides",127340,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Ceratopogonidae","Ceratopogoninae","","","","","","","","","",NA,NA,"Subfamily","Subfamily","Subfamily","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",NA,NA,NA,NA,NA,NA
"192","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",127338,"Sphaeromias",127761,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Ceratopogonidae","Ceratopogoninae","","","","","","","","","",NA,NA,"Subfamily","Subfamily","Subfamily","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",NA,NA,NA,NA,NA,NA
"193","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",127338,"Ceratopogon borealis",127565,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Ceratopogonidae","Ceratopogoninae","","","","","","","","","",NA,NA,"Subfamily","Subfamily","Subfamily","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",NA,NA,NA,NA,NA,NA
"194","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",127338,"Bezzia",127778,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Ceratopogonidae","Ceratopogoninae","","","","","","","","","",NA,NA,"Subfamily","Subfamily","Subfamily","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",NA,NA,NA,NA,NA,NA
"195","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",127338,"Monohelea",127575,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Ceratopogonidae","Ceratopogoninae","","","","","","","","","",NA,NA,"Subfamily","Subfamily","Subfamily","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",NA,NA,NA,NA,NA,NA
"196","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",127338,"Bezzia/Palpomyia",-140,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Ceratopogonidae","Ceratopogoninae","","","","","","","","","",NA,NA,"Subfamily","Subfamily","Subfamily","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",NA,NA,NA,NA,NA,NA
"197","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",127338,"Serromyia",127614,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Ceratopogonidae","Ceratopogoninae","","","","","","","","","",NA,NA,"Subfamily","Subfamily","Subfamily","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",NA,NA,NA,NA,NA,NA
"198","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",127338,"Ceratopogon",127564,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Ceratopogonidae","Ceratopogoninae","","","","","","","","","",NA,NA,"Subfamily","Subfamily","Subfamily","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",NA,NA,NA,NA,NA,NA
"199","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",127338,"Probezzia",127729,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Ceratopogonidae","Ceratopogoninae","","","","","","","","","",NA,NA,"Subfamily","Subfamily","Subfamily","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",NA,NA,NA,NA,NA,NA
"200","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",127338,"Mallochohelea",127702,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Ceratopogonidae","Ceratopogoninae","","","","","","","","","",NA,NA,"Subfamily","Subfamily","Subfamily","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",NA,NA,NA,NA,NA,NA
"201","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",127338,"Ceratopogoninae",127338,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Ceratopogonidae","Ceratopogoninae","","","","","","","","","",NA,NA,"Subfamily","Subfamily","Subfamily","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",NA,NA,NA,NA,NA,NA
"202","Ceratopogonini","Ceratopogonini","Ceratopogonini","Ceratopogonini",127526,"Ceratopogonini",127526,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Ceratopogonidae","Ceratopogoninae","","Ceratopogonini","","","","","","","",NA,NA,"Tribe","Tribe","Tribe","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae","Ceratopogoninae",NA,NA,NA,NA,NA,NA
"203","Cercobrachys","Cercobrachys","Cercobrachys","Cercobrachys",568556,"Cercobrachys",568556,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Caenoidea","Caenidae","","","","","","Cercobrachys","","","","",NA,NA,"Genus","Genus","Genus","Ephemeroptera","Ephemeroptera","Ephemeroptera","Caenidae","Caenidae","Caenidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Cernosvitoviella","Enchytraeidae","Oligochaeta","Cernosvitoviella",68534,"Cernosvitoviella",68534,"Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Enchytraeidae","","","","","","Cernosvitoviella","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Enchytraeidae","Enchytraeidae","Oligochaeta","Enchytraeidae","Enchytraeidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Chaetocladius","Orthocladiinae","Chironomidae","Chaetocladius",128520,"Chaetocladius",128520,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Chaetocladius","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Chaetocladius","Chironomidae","Orthocladiinae","Chaetocladius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Chaetogaster","Naididae","Oligochaeta","Chaetogaster",68934,"Chaetogaster",68934,"Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Naididae","","","","","","Chaetogaster","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Naididae","Naididae","Oligochaeta","Oligochaeta","Oligochaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Chama","Chama","Chama","Chama",81650,"Chama",81650,"Mollusca","","","Bivalvia","Heterodonta","","","Veneroida","","","Chamoidea","Chamidae","","","","","","Chama","","","","",NA,NA,"Genus","Genus","Genus","Bivalvia","Bivalvia","Bivalvia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Chamaedrilus","Enchytraeidae","Oligochaeta","Chamaedrilus",-200,"Chamaedrilus",-200,"Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Enchytraeidae","","","","","","Chamaedrilus","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Enchytraeidae","Enchytraeidae","Oligochaeta","Enchytraeidae","Enchytraeidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Chaoboridae","Chaoboridae","Chaoboridae","Chaoboridae",125886,"Chaoboridae",125886,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chaoboridae","","","","","","","","","","",NA,NA,"Family","Family","Family","Chaoboridae","Chaoboridae","Chaoboridae","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Chaoborus","Chaoborus","Chaoborus","Chaoborus",125904,"Chaoborus",125904,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chaoboridae","Chaoborinae","","","","","Chaoborus","","","","",NA,NA,"Genus","Genus","Genus","Chaoborus","Chaoborus","Chaoborus","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Cheilotrichia","Cheilotrichia","Cheilotrichia","Cheilotrichia",120420,"Cheilotrichia",120420,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Limoniinae","","Eriopterini","","","Cheilotrichia","","","","",NA,NA,"Genus","Genus","Genus","Cheilotrichia","Cheilotrichia","Cheilotrichia","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Chelifera/Metachela","Chelifera/Metachela","Chelifera/Metachela","Chelifera/Metachela",-5,"Chelifer",199285,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","Hemerodromiinae","","Hemerodromiini","Chelifera/Metachela","","","","","","","Empididae",FALSE,"Genus.Group","Genus.Group","Genus.Group","Chelifera/Metachela","Chelifera/Metachela","Chelifera/Metachela","Empididae","Empididae","Empididae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Chelifera/Metachela","Chelifera/Metachela","Chelifera/Metachela","Chelifera/Metachela",-5,"Chelifera/Metachela",-5,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","Hemerodromiinae","","Hemerodromiini","Chelifera/Metachela","","","","","","","Empididae",FALSE,"Genus.Group","Genus.Group","Genus.Group","Chelifera/Metachela","Chelifera/Metachela","Chelifera/Metachela","Empididae","Empididae","Empididae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Chelifera/Metachela","Chelifera/Metachela","Chelifera/Metachela","Chelifera/Metachela",-5,"Chelifera",136305,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","Hemerodromiinae","","Hemerodromiini","Chelifera/Metachela","","","","","","","Empididae",FALSE,"Genus.Group","Genus.Group","Genus.Group","Chelifera/Metachela","Chelifera/Metachela","Chelifera/Metachela","Empididae","Empididae","Empididae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Chelomideopsis","Acari","Acari","Chelomideopsis",83517,"Chelomideopsis",83517,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Athienemanniidae","","","","","","Chelomideopsis","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
