"","Fine_STE","Medium_STE","Coarse_STE","OTU_MetricCalc","Taxon","Taxon.Serial.Number","Mapped.Taxon.Serial.Number","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Exclusion_reason","Excluded","Coarse_STE_rank","Medium_STE_rank","Fine_STE_rank","Coarse_STE_attribute_use","Medium_STE_attribute_use","Fine_STE_attribute_use","Coarse_STE_HBI_use","Medium_STE_HBI_use","Fine_STE_HBI_use","Coarse_STE_MTI_use","Medium_STE_MTI_use","Fine_STE_MTI_use","Coarse_STE_FSBI_use","Medium_STE_FSBI_use","Fine_STE_FSBI_use","Coarse_STE_FSBI_use2","Medium_STE_FSBI_use2","Fine_STE_FSBI_use2"
"410","Ephemerella tibialis","Ephemerella tibialis","Ephemerella tibialis","Ephemerella tibialis","Ephemerella tibialis",101401,"101401","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Ephemerella","","","tibialis","",NA,NA,"Species","Species","Species","Ephemerella tibialis","Ephemerella tibialis","Ephemerella tibialis","Ephemerella","Ephemerella","Ephemerella",NA,NA,NA,"Ephemerella tibialis","Ephemerella tibialis","Ephemerella tibialis","Ephemerella","Ephemerella","Ephemerella"
"411","Ephemerellidae","Ephemerellidae","Ephemerellidae","Ephemerellidae","Ephemerellinae",-202,"101232","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Ephemerellidae","Ephemerellidae","Ephemerellidae","Ephemerellidae","Ephemerellidae","Ephemerellidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","Ephemerellidae","Ephemerellidae","Ephemerellidae","Ephemerellidae","Serratella",101395,"101232","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Ephemerellidae","Ephemerellidae","Ephemerellidae","Ephemerellidae","Ephemerellidae","Ephemerellidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","Ephemerellidae","Ephemerellidae","Ephemerellidae","Ephemerellidae","Ephemerellidae",101232,"101232","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Ephemerellidae","Ephemerellidae","Ephemerellidae","Ephemerellidae","Ephemerellidae","Ephemerellidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Ephemeridae","Ephemeridae","Ephemeridae","Ephemeridae","Ephemeridae",101525,"101525","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Scapphodonta","Ephemeroidea","Ephemeridae","","","","","","","","","","",NA,NA,"Family","Family","Family","Ephemeroptera","Ephemeroptera","Ephemeroptera","Ephemeridae","Ephemeridae","Ephemeridae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Ephemeroptera","Ephemeroptera","Ephemeroptera","Ephemeroptera","Ephemeroptera",100502,"100502","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","","","","","","","","","","","","","","",NA,NA,"Order","Order","Order","Ephemeroptera","Ephemeroptera","Ephemeroptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","Ephoron","Ephoron","Ephoron","Ephoron","Ephoron album",101571,"","Arthropoda","Hexapoda","","Insecta","Pterygota","","","Ephemeroptera","Furcatergalia","","","Polymitarcyidae","","","","","","Ephoron","","","","",NA,NA,"Genus","Genus","Genus","Ephemeroptera","Ephemeroptera","Ephemeroptera","Ephoron","Ephoron","Ephoron",NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","Ephydridae","Ephydridae","Ephydridae","Ephydridae","Ephydridae",146893,"146893","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Ephydridae","","","","","","","","","","","Ephydridae",FALSE,"Family","Family","Family","Ephydridae","Ephydridae","Ephydridae","Ephydridae","Ephydridae","Ephydridae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Epiphragma","Epiphragma","Epiphragma","Epiphragma","Epiphragma",120081,"120081","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Limoniinae","","Hexatomini","","","Epiphragma","","","","",NA,NA,"Genus","Genus","Genus","Limoniinae","Limoniinae","Limoniinae","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","Epitheca","Epitheca","Epitheca","Epitheca","Epitheca",102035,"102035","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Anisoptera","","","Corduliidae","Corduliinae","","","","","Epitheca","","","","",NA,NA,"Genus","Genus","Genus",NA,NA,NA,"Corduliidae","Corduliidae","Corduliidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
